"area","year","age","habitat","watercraft","wcs","debris","cold","redtide","other","undetermined","total"
"NW",2013,"Adults","Medium",0,0,0,0,0,1,1,1
"SW",2013,"Adults","Medium",4,1,0,0,0,1,6,6
"ATL",1996,"Calves","High",2,0,0,0,0,1,3,3
"USJ",1996,"Calves","High",5,0,1,1,0,0,7,7
"NW",1996,"Calves","High",1,0,0,0,0,1,2,2
"SW",1996,"Calves","High",4,0,0,1,0,4,9,9
"ATL",1997,"Calves","High",0,0,0,1,0,1,2,2
"USJ",1997,"Calves","High",2,0,1,0,0,0,3,3
"NW",1997,"Calves","High",3,0,0,1,0,0,4,4
"SW",1997,"Calves","High",0,0,1,0,0,2,3,3
"ATL",1998,"Calves","High",0,0,0,0,0,2,2,2
"USJ",1998,"Calves","High",0,1,0,0,0,1,2,2
"NW",1998,"Calves","High",1,0,1,3,0,0,5,5
"SW",1998,"Calves","High",4,0,0,0,1,0,5,5
"ATL",1999,"Calves","High",6,1,0,1,0,5,13,13
"USJ",1999,"Calves","High",1,0,0,2,0,0,3,3
"NW",1999,"Calves","High",2,1,0,0,0,2,5,5
"SW",1999,"Calves","High",1,0,0,1,0,0,2,2
"ATL",2000,"Calves","High",0,0,0,1,0,0,1,1
"USJ",2000,"Calves","High",3,2,0,0,0,0,5,5
"NW",2000,"Calves","High",1,0,0,0,0,1,2,2
"SW",2000,"Calves","High",2,0,0,0,0,0,2,2
"ATL",2001,"Calves","High",4,0,0,1,0,2,7,7
"USJ",2001,"Calves","High",0,0,0,2,0,0,2,2
"NW",2001,"Calves","High",3,0,0,1,0,1,5,5
"SW",2001,"Calves","High",4,0,0,0,0,1,5,5
"ATL",2002,"Calves","High",1,0,0,1,0,1,3,3
"USJ",2002,"Calves","High",0,0,0,0,0,0,0,0
"NW",2002,"Calves","High",2,0,0,1,0,1,4,4
"SW",2002,"Calves","High",4,0,0,1,0,2,7,7
"ATL",2003,"Calves","High",1,0,1,0,0,0,2,2
"USJ",2003,"Calves","High",1,0,2,1,0,0,4,4
"NW",2003,"Calves","High",5,0,0,3,0,4,12,12
"SW",2003,"Calves","High",3,0,0,0,0,1,4,4
"ATL",2004,"Calves","High",0,0,0,1,0,4,5,5
"USJ",2004,"Calves","High",3,0,1,2,0,0,6,6
"NW",2004,"Calves","High",2,0,0,1,0,1,4,4
"SW",2004,"Calves","High",2,1,0,1,0,0,4,4
"ATL",2005,"Calves","High",3,0,0,1,0,0,4,4
"USJ",2005,"Calves","High",1,1,0,0,0,0,2,2
"NW",2005,"Calves","High",3,0,0,0,0,5,8,8
"SW",2005,"Calves","High",3,0,0,1,0,3,7,7
"ATL",2006,"Calves","High",3,0,0,1,0,1,5,5
"USJ",2006,"Calves","High",1,1,1,0,0,0,3,3
"NW",2006,"Calves","High",3,1,0,0,0,1,5,5
"SW",2006,"Calves","High",3,0,0,1,0,2,6,6
"ATL",2007,"Calves","High",0,1,0,2,0,1,4,4
"USJ",2007,"Calves","High",3,1,0,3,0,0,7,7
"NW",2007,"Calves","High",3,0,0,0,0,0,3,3
"SW",2007,"Calves","High",1,0,0,1,0,1,3,3
"ATL",2008,"Calves","High",3,0,0,1,0,0,4,4
"USJ",2008,"Calves","High",0,0,0,2,0,0,2,2
"NW",2008,"Calves","High",1,0,0,1,0,0,2,2
"SW",2008,"Calves","High",0,0,0,1,0,4,5,5
"ATL",2009,"Calves","High",2,0,0,1,0,2,5,5
"USJ",2009,"Calves","High",1,0,0,4,0,0,5,5
"NW",2009,"Calves","High",1,0,0,2,0,1,4,4
"SW",2009,"Calves","High",3,0,0,1,0,4,8,8
"ATL",2010,"Calves","High",4,0,0,3,0,4,11,11
"USJ",2010,"Calves","High",4,0,0,6,0,1,11,11
"NW",2010,"Calves","High",3,0,0,1,0,6,10,10
"SW",2010,"Calves","High",4,0,0,0,0,4,8,8
"ATL",2011,"Calves","High",1,0,0,1,0,2,4,4
"USJ",2011,"Calves","High",1,0,0,1,0,0,2,2
"NW",2011,"Calves","High",1,0,0,1,0,1,3,3
"SW",2011,"Calves","High",1,0,1,2,1,4,9,9
"ATL",2012,"Calves","High",1,0,0,2,0,1,4,4
"USJ",2012,"Calves","High",2,0,0,2,0,1,5,5
"NW",2012,"Calves","High",2,0,0,1,0,0,3,3
"SW",2012,"Calves","High",5,0,0,0,1,0,6,6
"ATL",2013,"Calves","High",4,0,0,1,0,0,5,5
"USJ",2013,"Calves","High",1,0,0,2,0,2,5,5
"NW",2013,"Calves","High",0,0,0,1,1,1,3,3
"SW",2013,"Calves","High",7,0,0,0,0,5,12,12
"ATL",1996,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",1996,"Subadults","High",0,0,0,0,0,0,0,0
"NW",1996,"Subadults","High",0,0,0,0,0,1,1,1
"SW",1996,"Subadults","High",5,1,0,1,0,0,7,7
"ATL",1997,"Subadults","High",3,0,1,0,0,1,5,5
"USJ",1997,"Subadults","High",0,0,0,0,0,0,0,0
"NW",1997,"Subadults","High",0,0,0,1,0,1,2,2
"SW",1997,"Subadults","High",1,0,0,0,0,1,2,2
"ATL",1998,"Subadults","High",0,0,0,0,0,1,1,1
"USJ",1998,"Subadults","High",1,0,0,0,0,0,1,1
"NW",1998,"Subadults","High",0,0,0,0,0,0,0,0
"SW",1998,"Subadults","High",0,1,0,0,0,0,1,1
"ATL",1999,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",1999,"Subadults","High",1,0,0,0,0,0,1,1
"NW",1999,"Subadults","High",0,0,0,1,0,0,1,1
"SW",1999,"Subadults","High",0,0,0,0,0,1,1,1
"ATL",2000,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2000,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2000,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2000,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2001,"Subadults","High",0,0,0,0,0,1,1,1
"USJ",2001,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2001,"Subadults","High",2,0,0,1,1,0,4,4
"SW",2001,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2002,"Subadults","High",0,0,0,0,0,2,2,2
"USJ",2002,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2002,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2002,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2003,"Subadults","High",0,0,0,1,0,2,3,3
"USJ",2003,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2003,"Subadults","High",2,0,0,0,0,1,3,3
"SW",2003,"Subadults","High",0,0,0,0,0,0,0,0
"ATL",2004,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2004,"Subadults","High",0,0,0,1,0,0,1,1
"NW",2004,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2004,"Subadults","High",0,0,0,0,0,0,0,0
"ATL",2005,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2005,"Subadults","High",0,0,0,1,0,0,1,1
"NW",2005,"Subadults","High",0,0,0,0,0,1,1,1
"SW",2005,"Subadults","High",1,0,0,0,0,2,3,3
"ATL",2006,"Subadults","High",0,0,0,0,0,1,1,1
"USJ",2006,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2006,"Subadults","High",0,0,0,0,1,1,2,2
"SW",2006,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2007,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2007,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2007,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2007,"Subadults","High",0,0,0,1,0,0,1,1
"ATL",2008,"Subadults","High",1,0,0,0,0,0,1,1
"USJ",2008,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2008,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2008,"Subadults","High",0,0,0,0,0,0,0,0
"ATL",2009,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2009,"Subadults","High",0,0,0,1,0,0,1,1
"NW",2009,"Subadults","High",0,0,0,0,0,1,1,1
"SW",2009,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2010,"Subadults","High",0,0,0,1,0,0,1,1
"USJ",2010,"Subadults","High",1,1,0,1,0,0,3,3
"NW",2010,"Subadults","High",3,0,0,0,0,0,3,3
"SW",2010,"Subadults","High",2,2,0,0,0,1,5,5
"ATL",2011,"Subadults","High",0,0,0,0,0,0,0,0
"USJ",2011,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2011,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2011,"Subadults","High",0,0,0,0,0,0,0,0
"ATL",2012,"Subadults","High",0,0,0,1,0,0,1,1
"USJ",2012,"Subadults","High",1,0,0,0,0,0,1,1
"NW",2012,"Subadults","High",1,0,0,0,0,0,1,1
"SW",2012,"Subadults","High",1,0,0,0,0,0,1,1
"ATL",2013,"Subadults","High",2,0,0,0,0,0,2,2
"USJ",2013,"Subadults","High",0,0,0,0,0,0,0,0
"NW",2013,"Subadults","High",0,0,0,0,0,0,0,0
"SW",2013,"Subadults","High",3,0,0,0,0,0,3,3
"ATL",1996,"Adults","High",1,0,0,0,0,0,1,1
"USJ",1996,"Adults","High",0,0,0,0,0,0,0,0
"NW",1996,"Adults","High",1,0,0,0,0,0,1,1
"SW",1996,"Adults","High",3,0,0,0,0,1,4,4
"ATL",1997,"Adults","High",1,0,0,1,0,1,3,3
"USJ",1997,"Adults","High",1,0,1,0,0,0,2,2
"NW",1997,"Adults","High",1,0,0,0,0,0,1,1
"SW",1997,"Adults","High",2,0,0,0,1,0,3,3
"ATL",1998,"Adults","High",1,0,0,0,0,0,1,1
"USJ",1998,"Adults","High",0,0,0,0,0,0,0,0
"NW",1998,"Adults","High",1,0,0,0,0,0,1,1
"SW",1998,"Adults","High",0,0,0,0,0,0,0,0
"ATL",1999,"Adults","High",0,0,0,0,0,3,3,3
"USJ",1999,"Adults","High",0,0,0,1,0,0,1,1
"NW",1999,"Adults","High",1,0,0,0,0,1,2,2
"SW",1999,"Adults","High",1,0,0,0,0,2,3,3
"ATL",2000,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2000,"Adults","High",0,0,0,0,0,0,0,0
"NW",2000,"Adults","High",0,0,0,0,0,0,0,0
"SW",2000,"Adults","High",3,0,0,0,1,0,4,4
"ATL",2001,"Adults","High",1,0,0,0,0,2,3,3
"USJ",2001,"Adults","High",1,0,0,1,0,0,2,2
"NW",2001,"Adults","High",0,0,0,0,0,1,1,1
"SW",2001,"Adults","High",1,0,0,0,0,0,1,1
"ATL",2002,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2002,"Adults","High",0,0,0,0,0,0,0,0
"NW",2002,"Adults","High",1,0,0,1,0,2,4,4
"SW",2002,"Adults","High",1,0,0,0,0,0,1,1
"ATL",2003,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2003,"Adults","High",0,1,0,1,0,0,2,2
"NW",2003,"Adults","High",2,0,0,0,0,0,2,2
"SW",2003,"Adults","High",0,0,0,1,0,0,1,1
"ATL",2004,"Adults","High",0,0,0,0,0,2,2,2
"USJ",2004,"Adults","High",0,0,0,0,0,0,0,0
"NW",2004,"Adults","High",1,0,0,0,0,1,2,2
"SW",2004,"Adults","High",0,0,0,1,0,0,1,1
"ATL",2005,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2005,"Adults","High",0,0,1,0,0,0,1,1
"NW",2005,"Adults","High",0,0,0,0,0,1,1,1
"SW",2005,"Adults","High",2,1,0,0,0,0,3,3
"ATL",2006,"Adults","High",0,0,0,1,0,0,1,1
"USJ",2006,"Adults","High",0,0,0,0,0,0,0,0
"NW",2006,"Adults","High",0,0,0,1,0,0,1,1
"SW",2006,"Adults","High",1,0,0,1,0,0,2,2
"ATL",2007,"Adults","High",0,0,0,1,0,0,1,1
"USJ",2007,"Adults","High",0,0,0,1,0,0,1,1
"NW",2007,"Adults","High",0,1,0,0,0,0,1,1
"SW",2007,"Adults","High",2,0,0,0,0,0,2,2
"ATL",2008,"Adults","High",1,0,0,1,0,0,2,2
"USJ",2008,"Adults","High",0,0,0,0,0,0,0,0
"NW",2008,"Adults","High",0,0,0,0,0,1,1,1
"SW",2008,"Adults","High",0,0,0,0,0,0,0,0
"ATL",2009,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2009,"Adults","High",0,0,0,1,0,0,1,1
"NW",2009,"Adults","High",1,0,0,0,0,1,2,2
"SW",2009,"Adults","High",0,0,0,0,0,0,0,0
"ATL",2010,"Adults","High",0,0,0,2,0,2,4,4
"USJ",2010,"Adults","High",0,0,1,1,0,0,2,2
"NW",2010,"Adults","High",1,0,0,0,0,1,2,2
"SW",2010,"Adults","High",0,0,0,0,0,0,0,0
"ATL",2011,"Adults","High",1,0,0,1,0,1,3,3
"USJ",2011,"Adults","High",1,0,0,0,0,0,1,1
"NW",2011,"Adults","High",0,0,0,0,0,1,1,1
"SW",2011,"Adults","High",1,0,0,0,0,2,3,3
"ATL",2012,"Adults","High",1,0,0,0,0,0,1,1
"USJ",2012,"Adults","High",1,0,0,0,0,0,1,1
"NW",2012,"Adults","High",1,0,0,0,0,0,1,1
"SW",2012,"Adults","High",1,0,0,0,0,2,3,3
"ATL",2013,"Adults","High",0,0,0,0,0,0,0,0
"USJ",2013,"Adults","High",0,0,0,1,0,0,1,1
"NW",2013,"Adults","High",0,0,0,0,0,1,1,1
"SW",2013,"Adults","High",2,1,0,1,0,0,4,4
